,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
137,Giordano Giulio Abbondati,M,15,175,64
138,Salwan Jasim Abbood Abbood,M,24,180,104
139,"George ""Ioannis"" Abbot",M,NA,NA,NA
140,"William ""Bill"" Abbott Jr.",M,42,172,80
141,Clare Abbott,F,30,167,58
142,"David ""Dave"" Abbott",M,26,183,75
143,"Desmond ""Des"" Abbott",M,21,184,87
144,Geoffrey Grant Abbott,M,23,179,80
145,Jeremy Abbott,M,24,175,70
146,Jeremy Abbott,M,19,179,71
147,Joanne Abbott,F,41,160,57
148,"Kathryn ""Katie"" Abbott",F,21,164,63
149,Mara Katherine Abbott,F,30,163,52
150,Margaret Ives Abbott (-Dunne),F,23,NA,NA
151,Mary Perkins Ives Abbott (Perkins-),F,42,NA,NA
152,Matt Abbott,M,34,185,91
153,Monica Cecilia Abbott,F,23,191,88
154,Khadija Abbouda,F,40,165,57
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,22,185,98
156,Mahmoud Abd El-Kader,M,23,195,94
157,Mohamed Ibrahim Abd El-Salam,M,22,192,83
158,Noha Abd Rabo,F,21,NA,NA
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15,167,60
160,Ali Abdalla Afringi,M,25,163,57
161,Hossam Abdalla,M,28,203,97
162,Hosam Abdallah,M,25,NA,NA
163,Ismail Abdallah,M,NA,NA,NA
164,Maged Abdallah,M,22,NA,NA
165,Nia Nicole Abdallah,F,20,175,56
166,Omari Abdallah,M,21,168,57
167,Ould Lamine Abdallah,M,NA,NA,NA
168,Younis Abdallah Rabee,M,23,169,68
169,Raida Abdallah Bader,F,19,158,49
170,Maha Abdalsalam Gouda,F,18,172,61
171,Mahmoud Abdel Aziz,M,25,174,70
172,Mohamed Abdel Ellah,M,32,168,68
173,Mohamed Abdel Fatah,M,NA,170,69
174,Ali Mohamed Badawi Abdel Fattah Badawi,M,19,NA,NA
175,Abdelgani Hassan Abdel Fattah,M,31,NA,NA
176,Mahmoud Atter Abdel Fattah,M,NA,NA,NA
177,Mohamed Abdel Fattah,M,23,174,69
178,Sayed Abdel Gadir,M,23,180,56
179,Ibrahim Saad Abdel Galil,M,NA,176,73
180,Heba Abdel Gawad,F,18,154,48
181,Sara Abdel Gawad,F,18,153,46
182,Gamal Amin Abdel Ghani,M,29,NA,NA
183,Abdel Sattar Abdel Hadj,M,NA,NA,NA
184,Ragy Abdel Hady,M,30,186,100
185,Osman Abdel Hafeez,M,31,NA,NA
186,Mohamed Abdel Hafiz,M,NA,NA,NA
187,Moustafa Ali Abdel Halim,M,32,152,52
188,Mohamed Abdel Hamed,M,24,193,82
189,Hwad Ibrahim Abdel Hamid Lumomba,M,NA,162,57
190,Ibrahim Abdel Hamid,M,NA,NA,NA
191,Tamer Mohamed Abdel Hamid,M,20,NA,NA
192,Ahmed El-Sayed Abdel Hamid Mobarak,M,25,189,85
193,Dorri Abdel Kader Said,M,21,NA,NA
194,Moustafa Mounib Abdel Kader,M,NA,176,67
195,Mohamed Ali Abdel Kerim,M,24,NA,81
196,Mohamed Abdel Khaled,M,24,183,76
197,Abdel Latif Abdel Latif,M,28,172,68
198,Walid Abdel Maksoud,M,29,NA,NA
199,Amir Abdel Meguid,M,23,178,67
200,Mohamed Abdel Mohamed,M,24,NA,NA
201,Karim Abdel Mohsen,M,25,188,92
202,Awad Abdel Nabi Awad,M,19,198,80
203,Ahmed Abdel Naeim,M,23,197,87
204,Moustafa Abdel Naser,M,21,176,74
205,Ali Abdel Radi,M,24,NA,NA
206,Amin Abdel Rahman,M,18,NA,NA
207,Mohamed Fathallah Abdel Rahman,M,21,NA,NA
208,Fathi Ali Abdel Rahman,M,20,NA,NA
209,Ibrahim Abdel Rahman,M,NA,NA,NA
210,Khaled Abdel Rahman,M,27,188,79
211,Sameh Abdel Rahman,M,16,NA,NA
212,Yasser Abdel Rahman Sakr,M,30,180,120
213,Samy Abdel Razek,M,28,170,60
214,Mohamed Youssef Abdel Razik,M,21,NA,NA
215,Ibrahim Ahmed Abdel Rehim,M,21,190,83
216,Kamal Abdel Rehim,M,26,190,95
217,Reskalla Mohamed Abdel Rehim,M,22,165,48
218,Ahmed Ali Abdel Samad,M,27,195,95
219,Ali Abdel Sami,M,28,NA,NA
220,Mohamed Abdel Sami,M,NA,NA,NA
221,Sameh Abdel Waress Muhammad,M,24,NA,NA
222,Mohamed Said Abdel Wehab,M,22,157,48
223,Mahmoud Abdel-Aal,M,19,NA,NA
224,Mohamed Abdel-El,M,NA,NA,NA
225,Shaimaa Abdel-Latif-Hashad,F,23,165,57
226,Sanad Bushara Abdel-Nadif,M,NA,NA,NA
227,Ahmed Abdelaal,M,27,188,89
228,Mahmoud Abdelaal,M,24,176,60
229,Mohamed Ali Abdelaal,M,26,175,81
230,Moustafa Abdelal,M,NA,NA,NA
231,Mahmod Abdelaly,M,41,NA,NA
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,24,173,77
233,Aziza Abdelfattah,F,17,159,51
234,Abdalla Abdelgadir El-Sheikh,M,21,170,58
235,Magdi Abdelghani Sayed Ahmed,M,25,NA,NA
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,21,170,94
237,Ben Ahmed Abdelkrim,M,20,NA,NA
238,Mohamed Abdellah,M,36,170,70
239,Ayoub Abdellaoui,M,23,184,68
240,Leila Abdelmoez,F,19,160,46
241,Sayed Abdelmonem Sayed Hamed,M,23,170,60
242,Ahmed Abdelrahman,M,20,165,60
243,Ihab Abdelrahman El-Sayed Abdelrahman,M,23,194,96
244,Raouf Abdelraouf,M,22,167,63
245,Abouelfetoh Abdelrazek,M,21,NA,NA
246,Mamdouh Abdelrehim,M,26,207,90
247,El-Hachemi Abdenouz,M,24,170,63
248,Rda Abdenouz,M,19,170,63
249,Mouni Abderrahim,F,22,173,60
250,Saeid Morad Abdevali,M,22,170,80
251,Bashir Abdi,M,27,176,56
252,Youcef Abdi,M,30,178,66
253,Jamal Abdi Hassan Abdullah,M,19,177,65
254,Talal Omar Abdillahi,M,21,170,57
255,Mahmoud Ahmed Abdin,M,21,NA,NA
256,"Abdihakim ""Abdi"" Abdirahman",M,23,178,61
257,Ali Abdo,M,19,169,74
258,Hamza Abdo,M,17,NA,NA
259,Reema Abdo,F,21,173,59
260,Ahmed Abdo Mustafa,M,NA,NA,NA
261,Nasrollah Abdollahi,M,24,183,75
262,Yhyacinthe Mewoli Abdon,M,26,176,60
263,Hassane Abdou,M,23,185,67
264,Justin Abdou,M,29,175,85
265,Moustafa Ahmed Ismail Abdou Ali Arfah,M,31,NA,NA
266,Raouf Abdou,M,22,165,60
267,Mohamed Abdou El-Souad,M,19,180,76
268,Brahim Daoud Abdoulaye,M,25,NA,71
269,Fawziya Abdoulkarim,F,27,180,67
270,Alaa El-Din Abdoun,M,23,188,78
271,Ibrahim Abdrabbou,M,27,NA,NA
272,Berik Abdrakhmanov,M,30,165,60
273,Maizurah Abdul Rahim,F,17,147,50
274,Mehdi Fahim Abdul Al-Sada,M,24,184,70
275,Bashir Abdullah Abdul Aziz,M,22,180,73
276,Chairil Anwar Abdul Aziz,M,24,163,61
277,Shaimaa Abdul Aziz,F,19,160,53
278,Mohamed Abdul Hadj,M,25,NA,NA
279,Jefri Kiko Bolkiah Abdul Hakeem,M,23,172,90
280,Mohamed Abdul Hamid,M,19,175,55
281,S. Abdul Hamid,M,NA,NA,NA
282,Hadi Abdul Jabbar,M,30,180,117.5
283,Mohamed Abed Abdul Jawad,M,22,169,65
284,Anouar Abdul Kader,M,27,NA,NA
285,Talal Hassoun Abdul Kader,M,NA,NA,82
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23,169,60
287,Taha Abdul Karim,M,20,156,59
288,Masoud Abdul Khamis Al-Rahman,M,17,176,68
289,Abdul Haji Abdul Latheef,M,17,168,54
290,Fatima Abdul Majeed Hameed Al-Kirashi,F,14,NA,NA
291,Majed Ahmed Abdul Mohamed,M,26,172,70
292,Firouz Abdul Mohammadian,M,34,178,74
293,Hussam Abdul Rahman,M,30,175,80
294,Mohamed Ghulom Abdul Rahman,M,NA,175,85
295,Suleman Abdul Rahman,M,29,174,55
296,Zambrose Abdul Rahman,M,24,173,64
297,Lala Abdul Rashid,M,38,169,91
298,Muhammad Abdul Rashid,M,23,181,72
299,Dana Abdul Razak (Hussain-),F,22,163,56
300,A. Abdul Razzak,M,NA,178,70
301,Mohamed Abdul Razzak,M,NA,177,68
302,Muhammad Abdul Razzaq,M,NA,NA,NA
303,Hazim Abdul Ridha,M,NA,160,52
304,Rauf Abdul Seoud,M,21,NA,NA
305,Samir Ahmed Abdul Shakour,M,24,180,72
