,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
7316,Mario Balleri,M,29,170,NA
7317,Siegfried Ballerstedt,M,26,181,81
7318,Georges Ballery,M,23,167,62
7319,Sergio Ballesio,M,25,184,78
7320,Mara Ballest Huguet,F,16,168,66
7321,Jos Luis Ballester Rubert,M,19,176,70
7322,Jos Luis Ballester Tuliesa,M,23,173,72
7323,Hctor Fabio Ballesteros Vlez,M,22,175,84
7324,Jorge Eduardo Ballesteros,M,15,165,60
7325,Mara del Rosario Ballesteros,F,15,167,52
7326,Massimo Ballestrero,M,NA,NA,NA
7327,Veli Balli,M,26,175,67
7328,Jorge Esteban Balliengo,M,30,193,112
7329,Andr Ballieux,M,23,NA,NA
7330,Hugo Ballin,M,53,NA,NA
7331,"Edward Pennington ""Ed"" Ballinger",M,24,186,80
7332,Ian Roy Ballinger,M,42,185,71
7333,"Berendina ""Bea"" Ballintijn (-Stenersen)",F,25,NA,NA
7334,Ramazan Balliolu,M,21,170,48
7335,Ioannis Ballis,M,NA,NA,NA
7336,Gustave Louis Ballister,M,23,182,87
7337,Hermensen Ballo Ballo,M,25,160,51
7338,Valentina Ballod (-Lebedinskaya),F,19,169,62
7339,"Alexander ""Alex"" Bally",M,26,171,68
7340,tienne Marcel Bally,M,25,170,62
7341,Hug Ballya,M,28,NA,NA
7342,Sophie Balmary,F,21,183,76
7343,Klber Balmat,M,27,NA,NA
7344,Eugne Jean Franois Balme,M,33,170,NA
7345,Samuel Balmer,M,23,176,80
7346,Darren Balmforth,M,27,178,70
7347,Coralie Balmy,F,21,180,67
7348,Michal Balner,M,33,191,80
7349,Erik Balnuweit,M,23,189,80
7350,Zsolt Bal,M,20,187,77
7351,Abdul Rashid Baloch,M,24,175,67
7352,Abdul Razzaq Baloch,M,24,178,68
7353,"Vesmonis ""Ves"" Balodis",M,23,163,48
7354,Gbor Balog,M,17,186,80
7355,Ildik Balog,F,14,153,47
7356,Vilmos Balog,M,29,180,69
7357,Ambrus Balogh,M,32,172,73
7358,Beatrix Balogh (-Csata),F,25,165,65
7359,Erzsbet Balogh (Nyri-),F,30,172,66
7360,Gbor Balogh,M,24,187,76
7361,Lajos Balogh,M,25,NA,NA
7362,Lszl Balogh,M,21,192,78
7363,Lszl Balogh,M,30,180,75
7364,"Suzanne Elspeth ""Suzy"" Balogh",F,31,166,85
7365,Zoltan Balogh,M,21,NA,NA
7366,Gyrgyi Balogh-Szomov,F,20,170,50
7367,Andrs Balogi,M,38,175,68
7368,Spyros Balomenos,M,25,195,94
7369,Halina Balon,F,20,172,69
7370,Adolfo Baloncieri,M,22,NA,NA
7371,tefan Balok,M,23,181,72
7372,Keteng Baloseng,M,29,189,80
7373,Balossier,M,NA,NA,NA
7374,Kgomotso Balotthanyi,M,28,180,66
7375,Jan Mohammad Balouch,M,20,NA,NA
7376,Malang Balouch,M,24,NA,NA
7377,Demetrios Balourdos,M,NA,NA,NA
7378,Stoyan Dimitrov Balov,M,28,168,59
7379,Bernardo Baloyes Navas,M,22,168,66
7380,Onalenna Oabona Baloyi,M,26,180,62
7381,David Balp,M,22,160,62
7382,Charles Jean Louis Balsan,M,20,178,NA
7383,Josep Balsells Auter,M,18,NA,NA
7384,Ernst Balser,M,38,NA,NA
7385,Dirk Peter Balster,M,26,195,90
7386,Jutta Balster (Puls-),F,24,183,74
7387,Ksenija Balta,F,21,169,51
7388,Yelena Baltabayeva (-Ortina),F,33,185,89
7389,Elena Baltacha,F,28,175,70
7390,Serhiy Pavlovych Baltacha,M,22,181,75
7391,Eduardo Baltar,M,19,160,48
7392,Dimitrios Baltas,M,34,175,70
7393,Nikolaos Baltatzis-Mavrokordatos,M,NA,NA,NA
7394,Alexandros Baltatzis-Mavrokorlatis,M,NA,NA,NA
7395,Anders Lennart Blter,M,26,189,83
7396,"Samuel J. ""Sam"" Balter, Jr.",M,26,178,68
7397,Hansjrg Baltes,M,19,190,73
7398,Heiner Baltes,M,23,178,74
7399,Marcel Balthasar,M,33,187,NA
7400,Ramona Balthasar,F,24,177,71
7401,Lajos Balthazr,M,27,NA,NA
7402,Lucie Balthazar,F,18,174,69
7403,Frank Baltrusch,M,24,193,92
7404,Jean-Ado Baltus,M,14,NA,NA
7405,Georges-Marie Baltus,M,58,NA,NA
7406,"Martinus Jacobus Maria ""Martin"" Baltus",M,22,190,95
7407,Christian Baltzer,M,20,192,89
7408,Henrik Baltzersen,M,23,180,93
7409,Eduard Balch,M,21,NA,NA
7410,Sonja Balun,F,16,159,50
7411,Walter Daniel Balunek,M,24,192,91
7412,Frantiek Balvn,M,32,NA,NA
7413,Noe Balvin Puerta,M,29,168,68
7414,Ahmed Baly,M,24,182,115
7415,Yuliya Vladimirovna Balykina,F,28,165,60
7416,Flix Balyu,M,28,NA,NA
7417,Ernst Balz,M,32,NA,NA
7418,Heiko Balz,M,22,168,99
7419,Jorge Balza,M,NA,NA,NA
7420,Guido Balzarini,M,49,NA,NA
7421,Falk Balzer,M,26,189,80
7422,Kroly Balzsay,M,21,183,77
7423,Marvin Bam,M,30,175,66
7424,Souleymane Bamba,M,23,190,90
7425,Houkreo Bambe,M,NA,175,74
7426,George A. Bamber,M,NA,NA,NA
7427,Paul Bamber,M,27,175,65
7428,Ivano Bamberghi,M,27,NA,NA
7429,Giorgio Bambini,M,23,192,81
7430,Clicien Alexandre Roger Bambuck,M,18,180,75
7431,Maya Bamert (-Regg),F,26,182,81
7432,David Phillip Bamford,M,24,172,75
7433,Emily Bamford,F,21,169,64
7434,"Thomas James Hadeler ""Tom"" Bamford",M,29,193,73
7435,Margaret Bamgbose,F,22,171,63
7436,Tunde Bamidele,M,27,200,NA
7437,Sybille Bammer,F,28,174,64
7438,Driss Bamoos,M,21,168,67
7439,Abdoullah Bamoussa,M,30,170,59
7440,Bernard Ban,M,27,185,90
7441,iril Ban,M,26,NA,NA
7442,Motohiko Ban,M,23,NA,NA
7443,Norio Ban,M,NA,NA,NA
7444,Oana Mihaela Ban,F,18,139,36
7445,Charles Bana,M,23,171,60
7446,"Edward Joseph ""Ed"" Banach",M,24,177,90
7447,Lou David Banach,M,24,183,95
7448,ukasz Banak,M,28,186,120
7449,Bruno (Fuahea-) Banani (Semi-),M,26,184,89
7450,Guitry Bananier,M,21,167,60
7451,Bolesaw Bana,M,36,176,72
7452,Justyna Banasiak,F,18,169,49
7453,Direma Banasso,F,14,157,48
7454,Piotr Banaszak,M,28,175,107
7455,Arthur Banbrook,M,NA,NA,NA
7456,"Clinton Dwight ""Clint"" Banbury",M,22,173,66
7457,Ian A. Banbury,M,18,183,70
7458,Elvio Banchero,M,24,NA,NA
7459,Ivaylo Banchev,M,21,196,90
7460,Reneta Bancheva,F,23,NA,NA
7461,Amedeo Banci,M,26,NA,NA
7462,Victoria Banciu (-Caranda),F,27,177,66
7463,Edwige Bancole,F,NA,NA,NA
7464,Salom Bncora,F,20,NA,NA
7465,Leslie B. Bancroft-Krichko,F,20,178,66
7466,Fayzollah Band Ali,M,24,167,65
7467,Clement Banda,M,NA,NA,NA
7468,Hugo Banda Bernal,M,NA,173,64
7469,Lewis Simon Banda,M,21,170,65
7470,Leszek Bandach,M,28,171,72
7471,Andreia Bandeira,F,29,169,75
7472,Jos da Silva Bandeira,M,26,182,69
7473,Otvio D'vila Bandeira,M,29,NA,NA
7474,Anum Bandey,F,15,NA,NA
7475,Haris Bandey,M,17,167,79
7476,Willy Bandholz,M,24,NA,NA
7477,Philipp Bandi,M,30,193,74
7478,Bandiin Altangerel,M,27,183,75
7479,Spartaco Bandinelli,M,27,NA,NA
7480,"Voldimars ""Valdemar"" Bandolowski",M,26,184,82
7481,Jerzy Bandura,M,32,NA,NA
7482,ver Maximiliano David Banega,M,20,175,73
7483,Allan Alexander Banegas Murillo,M,22,180,76
7484,Antun Banek,M,27,NA,NA
7485,Dola Banerjee,F,24,162,69
7486,H. Harihar Banerjee,M,34,NA,NA
7487,"Pradeep Kumar ""PK"" Banerjee",M,20,173,65
7488,Rahul Banerjee,M,25,179,80
7489,Samar Banerjee,M,NA,NA,NA
7490,gnes Bnfai,F,21,159,52
7491,Klra Bnfalvi-Fried,F,17,172,76
7492,Emilio Banfi,M,NA,NA,NA
7493,Tettey-Sowah Banfro,M,31,190,93
7494,Bang Dae-Du,M,29,159,52
7495,Bang Gwi-Man,M,21,170,66
7496,Bang Hyeon-Ju,F,22,161,48
7497,Bang Hyo-Mun,M,18,156,56
7498,Bang Ji-Seop,M,26,192,81
7499,Bang Jin-Hyeok,F,25,170,63
7500,Bang Jun-Yeong,M,18,169,62
7501,Bang Seung-Hun,M,16,NA,NA
7502,Bang Shin-Hye,F,21,172,59
7503,Bang Sin-Bong,M,21,200,85
7504,Bang Su-Hyeon,F,19,NA,NA
7505,Bang Won-Sun,M,NA,NA,NA
7506,Bang Yeol,M,23,178,66
7507,Michelle Banga Moudzoula,F,16,178,57
7508,Lucien Bangels,M,NA,NA,NA
7509,Ognyan Bangiev,M,24,169,63
7510,Facinet Bangoura,M,28,NA,NA
7511,Mamadama Bangoura,F,22,176,63
7512,Pierre Bangoura,M,NA,176,64
7513,Chauncey Robert Bangs,M,30,NA,NA
7514,Vagn Aage Bangsborg,M,24,182,70
7515,Emmanuel Bangu,M,24,180,72
7516,Hawanatu Bangura,F,16,142,52
7517,Mohamed Bangura,M,21,170,57
7518,"Thu Ai ""Tawny Banh",F,25,160,53
7519,Ferenc Bnhalmi,M,25,172,64
7520,Lszl Bnhegyi,M,21,190,86
7521,Lucia Bnhegyi-Rad,F,24,172,63
7522,Peter Bni,M,27,179,69
7523,Walter Bni,M,19,173,68
7524,Zahra Bani,F,28,173,77
7525,Sayed Ali Bani Hashemi,M,26,167,57
7526,Washington Banian,M,25,160,48
7527,Marko Bani,M,29,204,104
7528,Andrei Nicolae Bnic,M,18,201,95
7529,Georgios Banikas,M,17,NA,NA
7530,Albert Legrand Baning,M,23,189,85
7531,Ayoub Baninosrat,M,24,178,100
7532,"Konstantinos ""Kostas"" Baniotis",M,21,201,80
7533,Hubert Jzef Banisz,M,24,176,70
7534,Vladimir Banjanac,M,21,187,83
7535,Jesper Bank,M,27,184,100
7536,Ondej Bank,M,21,175,85
7537,"Danute Monika ""Bunki"" Bankaitis-Davis",F,30,162,57
7538,Judd Charles Bankert,M,38,NA,NA
7539,Charlotte Bankes,F,18,163,60
7540,Imogen Bankier,F,24,167,65
7541,Wabanko Banko,M,28,NA,NA
7542,"Oluwayomi ""Yomi"" Bankole Wiekliffe",M,28,NA,NA
7543,Dmitry Mikhaylovich Bankovsky,M,20,186,85
7544,Bernard Bruce Banks,M,34,NA,NA
7545,David Banks,M,24,188,87
7546,Graeme Lachlan Banks,M,19,175,75
7547,Kelcie Herron Banks,M,23,183,57
7548,"Suzanne Jane ""Sue"" Banks (Muehlberg-)",F,24,167,69
7549,Wendy Banks,F,28,160,59
7550,"William Augustus ""Willie"" Banks, III",M,28,190,77
7551,Antal Bnkuti,M,25,183,70
7552,rpd Bnkuti,M,22,NA,NA
7553,Blair Cameron Bann,M,28,184,84
7554,Mohamed Reza Banna,M,21,178,69
7555,"Petrus Leonard ""Piet"" Bannenberg",M,17,NA,NA
7556,Delmar Harmood Banner,M,52,NA,NA
7557,"Lawrence Shyres ""Larry"" Banner",M,24,180,69
7558,Purma C. Bannerjee,M,NA,NA,NA
7559,Aleksey Bannikov,M,18,170,65
7560,Hans Bnninger,M,23,NA,NA
7561,Michael Bnninger,M,24,178,73
7562,Alan Bannister,M,25,NA,NA
7563,Jarrod Bannister,M,23,190,100
7564,"Jeffrey Granville ""Jeff"" Bannister",M,26,191,93
7565,Roger Gilbert Bannister,M,23,187,70
7566,Kuniko Banno,F,19,167,56
7567,Amine Bannour,M,22,196,102
7568,Anastasiya Aleksandrovna Bannova,F,19,167,45
7569,Antonio Baos Alonso,M,30,170,65
7570,Henri Hubert Banos,M,22,181,80
7571,Jean-Marie Banos,M,22,182,83
7572,Jean-Paul Banos,M,23,182,75
7573,Pablo Baos Yerga,M,21,175,83
7574,Andriana Veselinova Banova,F,25,178,64
7575,Marko Banovi,M,25,NA,NA
7576,Petra Banovi (-Santos),F,20,178,61
7577,Imre Bnrvi,M,21,169,60
7578,August Banak,M,24,180,72
7579,Heather Bansley,F,28,170,66
7580,Hendrika Theodora Bante,F,23,NA,NA
7581,Monique Bantgny (Parenty-),F,28,171,65
7582,Carlos Delvis Banteux Surez,M,21,174,69
7583,Ralph Banthorpe,M,19,174,63
7584,Herv Banti,M,35,180,71
7585,Sarah Banting,F,22,165,60
7586,"Michael Allen ""Mike"" Bantom",M,20,203,93
7587,"Kenneth Owens ""Ken"" Bantum",M,21,198,106
7588,Helmut Bantz,M,30,NA,NA
7589,Melanie Louise Banville,F,17,158,52
7590,Kayla Banwarth,F,27,178,70
7591,goston Bnyai,M,22,190,81
7592,Bruno Banzer,M,25,173,65
7593,Ivan Mykolaiyovych Banzeruk,M,26,180,70
7594,Banzragchiin Zundui,M,26,NA,NA
7595,Bao Chunlai,M,21,190,80
7596,Bao Jiaping,M,27,177,55
7597,Bao Yingying,F,24,172,67
7598,Bao Yuqing,F,22,173,55
7599,Bao Zhenghua,F,14,158,NA
7600,Modher Baouab,M,27,174,68
7601,Jos Baptista,M,25,172,56
7602,Messias Jos Baptista,M,28,NA,NA
7603,Joan Jeanetta Baptiste,F,24,170,61
7604,Kelly-Ann Kaylene Baptiste,F,17,167,54
7605,Kirk Renaud Baptiste,M,22,184,79
7606,Michelle Baptiste (-Liburd),F,18,170,65
7607,Sheridon Baptiste,M,28,182,84
7608,Khader Ghetrich Baqlah,M,17,184,80
7609,Talita Baqlah,F,16,172,62
7610,Elsa Mara Baquerizo McMillan,F,25,181,68
7611,Andr Bar,M,21,NA,NA
7612,Carina Br,F,22,185,75
7613,Chaim Bar,M,22,167,72
7614,"Shraga ""Feiwel"" Bar",M,20,170,69
7615,Gottfried Br,M,36,186,83
7616,Walter Bar,M,26,182,68
7617,Orit Bar-On,F,24,160,57
7618,Nimrod Shapira Bar-Or,M,23,192,85
7619,Bruno Barabani,M,19,182,90
7620,Olga Vladimirovna Barabanshchikova,F,16,176,60
7621,Andrei Baraba,M,22,179,65
7622,Enik Barabs-Mironcic,F,22,181,74
7623,Sergey Barabashin,M,22,NA,NA
7624,Anna Maria Barabino,F,25,NA,NA
7625,Armando Barabino,M,52,NA,NA
7626,Jnos Barabyai,M,24,173,77
7627,Samir Bara,M,26,188,95
7628,Stanko Bara,M,21,217,110
7629,Valr Bara,M,27,NA,NA
7630,Silvio Sergio Baracchini,M,21,176,77
7631,Mariano Joaqun Baracetti,M,26,194,92
7632,Xavier Barachet,M,23,195,95
7633,Paula Baracho Rosas Ribeiro,F,23,180,66
7634,Philippe Baradel,M,30,165,67
7635,Costic Brgan,M,23,182,74
7636,Tullio Baraglia,M,26,188,87
7637,Emilio Barahona,M,19,168,54
7638,Juan Barahona,M,22,NA,NA
7639,Juan Antonio Barahona Nieves,M,22,162,60
7640,Noelle Barahona Neder,F,15,171,65
7641,Pablo Rodolfo Barahona,M,18,170,66
7642,Roy Felipe Barahona Fuentes,M,18,173,65
7643,Jorge Alejandro Barajas Gonzlez,M,25,188,80
7644,Antonn Bark,M,24,158,51
7645,"Ronald S. ""Ron"" Barak",M,21,170,64
7646,Sara Ashraf Mohamed Mohamed Baraka,F,20,164,56
7647,Mohammed Adel Barakat,M,17,178,70
7648,Yar Mohammad Barakzai,M,NA,NA,NA
7649,Bertha Baraldi Briseo,F,20,162,53
7650,Gianfranco Baraldi,M,21,181,64
7651,Norma Baraldi Briseo,F,21,163,52
7652,Issi Israel Baran,M,24,180,69.5
7653,Primo Baran,M,25,179,76
7654,Radosaw Baran,M,26,177,97
7655,Robert Baran,M,24,186,103
7656,Witold Stanisaw Baran,M,25,178,70
7657,Jzef Baran-Bilewski,M,29,191,82
7658,Barbara Bronisawa Baran-Wojnar,F,20,168,55
7659,Aivaras Baranauskas,M,24,189,85
7660,Max Barandun,M,21,174,70
7661,Rudolf Barnek,M,26,NA,NA
7662,Anton Baraniak,M,29,180,110
7663,Ivan Baranka,M,24,191,91
7664,Aleksey Alekseyevich Barannikov,M,26,177,65
7665,Vilikton Innokentyevich Barannikov,M,22,160,60
7666,"Matthew ""Matt"" Baranoski",M,23,183,96
7667,Aleksey Leonidovich Baranov,M,21,177,NA
7668,Matvai Baranov,M,26,NA,NA
7669,Sergey Andreyevich Baranov,M,23,208,94
7670,Viktor Dmitriyevich Baranov,M,27,NA,NA
7671,Viktor Baranov,M,NA,NA,NA
7672,Vitaliy Baranov,M,27,180,NA
7673,Nataliya Ivanovna Baranova (Masolkina-),F,30,172,65
7674,Yelena Viktorovna Baranova,F,20,192,80
7675,Anatolijus Baranovas,M,32,171,62
7676,Natalia Baranovskaya-Khatziloizou,F,17,173,60
7677,Dmytro Baranovsky,M,25,174,59
7678,"Katarzyna ""Kasia"" Baranowska",F,20,184,72
7679,Dariusz Baranowski,M,20,177,79
7680,Zbigniew Mateusz Baranowski,M,25,180,86
7681,Zenon Franciszek Baranowski,M,26,171,70
7682,Anna Baraska (-Werbliska),F,24,178,66
7683,rpd Brny,M,29,171,59
7684,Istvn Brny,M,16,185,NA
7685,Istvn Baranya,M,25,NA,NA
7686,Lajos Baranyai,M,21,190,86
7687,Lszl Baranyai,M,28,NA,NA
7688,Andrs Baranyecz,M,22,180,72
7689,Judit Brnyi,F,14,165,59
7690,Mohammad Reza Barari,M,28,180,85
7691,Joseph Baras,M,NA,NA,NA
7692,Violet Awidi Barasa,F,25,178,66
7693,Jacqueline Barasinski,F,20,161,58
7694,Miguel ngel Barasorda Porrata-Doria,M,38,181,94
7695,Pawe Baraszkiewicz,M,19,174,86
7696,Antal Bart-Lemberkovits (-Simonfay),M,29,NA,NA
7697,Larissa Maia Barata,F,17,160,43
7698,Samuel Ren Louis Barathay,M,24,185,86
7699,Georges Barathon,M,NA,NA,NA
7700,va Barti,F,23,165,55
7701,Georges Lon Baraton,M,20,NA,NA
7702,Alejandro Baratta,M,24,170,64
7703,Raymond Baratto,M,26,172,70
7704,Stefan Christopher Dion Baraud,M,17,183,77
7705,"Akalaini ""Bui"" Baravilala",F,25,168,75
7706,Filipe Baravilala,M,21,170,74
7707,Azad Al-Barazi,M,24,195,85
7708,Jenny Barazza,F,23,188,77
7709,Francisco Barba Ordaz,M,19,185,62
7710,Ahmed Barbach,M,NA,190,NA
7711,Ana Luiza Busato Barbachan,F,22,171,68
7712,Yevgeny Aleksandrovich Barbakov,M,22,188,94
7713,Idalberto Barban Reyna,M,23,175,74
7714,Morgan Barbanon Mestres,F,19,171,56
7715,Anthony John Barbar,M,23,201,100
7716,Brbara Seixas de Freitas,F,29,178,67
7717,Brbara Micheline do Monte Barbosa,F,20,171,71
7718,Mariano Barbaresi,M,24,NA,NA
7719,"Ivan ""Ivica"" Barbari",M,26,188,79
7720,Kosta Barbarouses,M,22,171,NA
7721,Nicolae Brbescu,M,23,167,67
7722,Andrey Stanislavovich Barbashinsky,M,22,NA,NA
7723,Camille Henri mile Alphonse  Barbaud,M,23,NA,NA
7724,douard J. R. Barbazan,M,21,NA,NA
7725,Jonathan Barbe,M,19,172,66
7726,Eduardo Maria Murta Barbeiro,M,20,NA,NA
7727,Henri Barbens,M,NA,NA,NA
7728,Alana Barber,F,29,163,52
7729,Aleesha Barber,F,21,NA,NA
7730,"Albert Oliver ""Alf"" Barber",M,22,NA,NA
7731,"William Robert ""Billy"" Barber",M,NA,NA,NA
7732,Darren Barber,M,23,193,98
7733,"Richard Alvah ""Dick"" Barber",M,22,180,82
7734,Eunice Barber,F,17,175,68
7735,George Henry Barber,M,23,NA,NA
7736,Karen A. Barber (-Pickavance),F,18,165,47
7737,Kate Barber,F,31,160,55
7738,Paul Jason Barber,M,29,189,85
7739,Sara Katherine Barber (-Jenkins),F,15,167,58
7740,"Shawnacy Campbell ""Shawn"" Barber",M,22,187,82
7741,"Anthony Kenneth ""Tony"" Barber",M,24,166,68
7742,"Verdi ""Vern"" Barberis",M,24,NA,67.5
7743,mile Barberolle,M,NA,NA,NA
7744,Ernest Barberolle,M,58,156,56
7745,Luigi Barbesino,M,18,186,NA
7746,Antonio Barbet,M,22,184,76
7747,Elvira Barbey,F,35,NA,NA
7748,Louis Barbey,M,39,NA,NA
7749,mile Edmond Gustave Barbier,M,NA,NA,NA
7750,Ren Barbier,M,37,175,70
7751,"Lawrence Edward ""Larry"" Barbiere",M,17,188,84
7752,Alberto A. Barbieri,M,NA,NA,NA
7753,Arianna Barbieri,F,23,177,65
7754,Blago Barbieri,M,29,NA,NA
7755,Erica Barbieri,F,31,179,70
7756,Laurent Barbiri,M,23,167,64
7757,Marcello Barbieri,M,25,170,72
7758,Ottavio Francesco Carlo Barbieri,M,24,NA,NA
7759,Renato Barbieri,M,29,170,NA
7760,Lidia Barbieri Sacconaghi,F,19,170,55
7761,Andr Barbillat,M,NA,NA,NA
7762,Leonid Faivelevych Barbiyer,M,23,180,73
7763,Alan James Barblett,M,27,NA,NA
7764,Marco Barboni,M,28,182,82
7765,Cndido Joaquim Venda Moreira Barbosa,M,21,172,72
7766,Danielli Yuri Barbosa,F,24,160,65
7767,Dario Barbosa,M,37,NA,NA
7768,Henrique Ribeiro Marques Barbosa,M,24,195,84
7769,Jade Fernandes Barbosa,F,17,151,45
7770,"Jos Celso ""Joe"" Barbosa Muiz",M,19,NA,NA
7771,Jos Luz Zequinha Barbosa,M,23,184,68
7772,Leandro Mateus Barbosa,M,29,194,97
7773,Luis Barbosa,M,27,159,56
7774,Neyde Marisa Pina Barbosa,F,23,175,87
7775,Vera Lcia Mendes Barbosa,F,23,168,58
7776,Roy Hilton Barbour,M,29,174,61
7777,Grettel de los Angeles Barboza Salazar,F,47,167,82
7778,Alexandru George Barbu,M,26,177,70
7779,Ion Barbu,M,26,NA,NA
7780,Valentin Barbu,M,23,165,48
7781,Virgil Brbuceanu,M,29,165,70
7782,Kazimierz Zygfryd Barburski,M,26,180,77
7783,Nicolae Brbu,M,27,187,87
7784,"Raymond James ""Ray"" Barbuti",M,22,183,82
7785,Kiril Georgiev Barbutov,M,25,178,130
7786,Philippe Barca-Cysique,M,27,194,88
7787,Grazia Barcellona,F,19,NA,NA
7788,Armando Lus Barcellos da Silva,M,34,181,76
7789,David Roberto Brcena Ros,M,22,173,73
7790,Loretta A. Barcenas,F,21,158,48
7791,Otto Eduardovich Barch,M,24,180,75
7792,Stephan de Freitas Barcha,M,26,NA,NA
7793,Francisco Barcia Rodrguez,M,22,170,68
7794,Gerard Barcia Duedra,M,32,NA,NA
7795,Edward Barcik,M,22,178,72
7796,Miroslav Bark,M,22,174,68
7797,Adam Barclay,M,24,179,98
7798,"James Barr ""Jim"" Barclay",M,27,170,NA
7799,Kate Barclay,F,23,166,67
7800,Silvano Barco,M,24,170,65
7801,"Donald Francis ""Don"" Barcombe, Jr.",M,43,178,90
7802,Mikls Barcza,M,20,NA,NA
7803,Leigh Francis Barczewski,M,20,186,84
7804,Henri Louis Bard,M,27,NA,NA
7805,Arvds Oto Brda,M,22,NA,NA
7806,Edvns Johans Brda,M,24,NA,NA
7807,Michal Barda,M,33,191,80
7808,Rdolfs Brda,M,21,NA,NA
7809,Georgina Bardach Martin,F,17,172,63
7810,Virginia Bardach Martn,F,24,174,57
7811,Anders Bardal,M,19,186,60
7812,Tomas Bardauskas,M,25,185,70
7813,Alessandro Bardelli,M,34,NA,NA
7814,Brian David Barden,M,27,180,86
7815,Anne-Lise Bardet,F,30,169,58
7816,Romain Bardet,M,25,184,64
7817,"Edward ""Eddie"" Bardgett",M,33,179,73
7818,Walter Edward Bardgett,M,15,NA,NA
7819,Danio Bardi,M,23,180,76
7820,Gyngyi Bardi-Gerevich,F,18,172,61
7821,Mara Angels Bardina Vidal,F,20,168,60
7822,Yutta Barding (Ohlson-),F,43,NA,NA
7823,Ulla Barding-Poulsen,F,24,NA,NA
7824,Samanta Bardini,F,27,163,64
7825,Giovanni Battista Bardis,M,21,177,85
7826,Maurice Charles Adolphe Bardonneau,M,20,NA,NA
7827,Sndor Istvn Brdosi,M,23,173,85
7828,Karen Louise Bardsley,F,27,181,69
7829,Jerzy Bardziski,M,35,NA,NA
7830,George Huston Bare,M,25,180,NA
7831,Gregorio Amadeo Bare Rossario,M,23,180,82
7832,Karim Bare,M,16,NA,NA
7833,Reginald George Bare,M,23,NA,NA
7834,Mara del Carmen Barea Cobos,F,25,164,56
7835,Fredy Jos Bareiro Gamarra,M,22,179,77
7836,Mounir Barek,M,24,174,68
7837,Olesya Ivanovna Barel,F,28,190,78
7838,"Robert Alexander ""Rob"" Barel",M,42,181,75
7839,Mauro Barella,M,27,178,70
7840,Marianna Barelli,F,20,168,57
7841,Paolo Barelli,M,18,184,70
7842,Leonardo Baremboin,M,18,188,82
7843,Alberto Angel Barenghi,M,22,NA,NA
7844,"Franchino ""Franco"" Baresi",M,24,NA,NA
7845,Hakon Barfod,M,21,NA,NA
7846,Walter Barfu,M,25,NA,NA
7847,"Benjamin Oden ""Ben"" Barger",M,27,183,73
7848,Mohamed Barguaoui,M,25,170,58
7849,Warren Barguil,M,24,184,62
7850,Jeremy Gavin Barham,M,27,181,67
7851,Arne Barhaugen,M,24,NA,NA
7852,Andrea Bari,M,32,184,80
7853,Mikhail Mikhaylovich Bariban,M,23,180,72
7854,Hrvoje Bari,M,19,180,77
7855,Wilde H. Baridn Ricca,M,23,NA,71
7856,Zakariah Barie,M,27,174,56
7857,Marcel Baril,M,30,NA,60
7858,Liutauras Barila,M,23,182,70
7859,Paula Barila Bolopa,F,20,158,60
7860,"Joseph James ""Joe"" Barile",M,28,NA,NA
7861,Antonino Barill,M,28,187,96
7862,Jos Julio Barillas,M,20,NA,NA
7863,Stphane Barin,M,21,179,75
7864,Michal Barinka,M,29,192,102
7865,Viktor Barinov,M,22,183,83
7866,Yury Viktorovich Barinov,M,25,173,71
7867,Tana Barioz,F,21,164,57
7868,Roger Barisien,M,23,NA,NA
7869,Eugenio Barisoni,M,50,NA,NA
7870,Nicolas Briswyl,M,23,173,68
7871,Renzo Bariviera,M,23,200,93
7872,Vendramino Bariviera,M,22,178,72
7873,Valrie Barizza,F,24,160,46
7874,Sonja Barjaktarovi,F,25,180,74
7875,Salim Barjum Roque,M,16,152,52
7876,Oleksiy Stepanovych Barkalov,M,22,180,82
7877,"Olof Vilhelm ""Olle"" Barkander",M,42,181,72
7878,Vitolds Barkns,M,24,191,86
7879,Erdal Barkay,M,20,NA,NA
7880,Charles David Barker,M,24,175,72
7881,"Clifford Eugene ""Cliff"" Barker",M,27,188,84
7882,David Boston Barker,M,21,175,70
7883,Dean Raymond Barker,M,31,190,90
7884,Elinor Jane Barker,F,21,168,56
7885,"Ernest Frederick ""Ernie"" Barker",M,43,NA,NA
7886,Ervin Jeremiah Barker,M,21,NA,NA
7887,Florence Barker,F,NA,NA,NA
7888,Harold Ross Barker,M,22,NA,75
7889,Henry Barker,M,NA,NA,NA
7890,Ian Dallas Barker,M,34,183,76
7891,James Jeffrey Barker,M,19,NA,NA
7892,Keith Barker,M,25,172,64
7893,Natasha Jane Barker,F,29,153,58
7894,Nigel Chase Barker,M,23,NA,NA
7895,Peter Barker,M,29,177,68
7896,Roxanne Kimberly Barker,F,21,178,76
7897,Ursel Barkey,F,18,NA,NA
7898,Mohamed Hossein Barkhah,M,23,172,77
7899,Ebrahim Barkhordari,M,29,170,79
7900,Ahmed Al-Barki,M,32,NA,81
7901,Charles Wade Barkley,M,29,198,114
7902,"Nathan ""Tan"" Barkley",M,18,172,51
7903,Jane Louise Barkman (-Brown),F,17,169,61
7904,Aleksander Barkov,M,18,190,91
